,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
1173,0,33A BEDOK SOUTH AVENUE 2 SINGAPORE 462033,33A,NIL,1.32323469343762,103.939221393919,103.939221393919,462033,BEDOK SOUTH AVENUE 2,33A BEDOK SOUTH AVENUE 2 SINGAPORE 462033,39785.9313824984,33942.3379054461,33 Bedok South Avenue 2
1174,1,33 BEDOK SOUTH AVENUE 2 HDB-BEDOK SINGAPORE 460033,33,HDB-BEDOK,1.32283703302242,103.939124525951,103.939124525951,460033,BEDOK SOUTH AVENUE 2,HDB-BEDOK,39775.1528021568,33898.3661223687,33 Bedok South Avenue 2
1175,2,33 BEDOK SOUTH AVENUE 2 SATS STAFF HOME FOR SENIOR CITIZENS SINGAPORE 460033,33,SATS STAFF HOME FOR SENIOR CITIZENS,1.32284124257571,103.939128684332,103.939128684332,460033,BEDOK SOUTH AVENUE 2,SATS STAFF HOME FOR SENIOR CITIZENS,39775.6155693604,33898.8316136915,33 Bedok South Avenue 2
1176,0,126 LORONG 1 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310126,126,TOA PAYOH VIEW,1.33781465653001,103.84513085219,103.84513085219,310126,LORONG 1 TOA PAYOH,TOA PAYOH VIEW,29314.5802165157,35554.2671874501,126 Lorong 1 Toa Payoh
1177,0,309 JURONG EAST STREET 32 HONG KAH EAST PLACE SINGAPORE 600309,309,HONG KAH EAST PLACE,1.34753691047159,103.734033285066,103.734033285066,600309,JURONG EAST STREET 32,HONG KAH EAST PLACE,16950.6422504132,36629.5263519976,309 Jurong East Street 32
1178,0,25B JALAN MEMBINA MEMBINA COURT SINGAPORE 164025,25B,MEMBINA COURT,1.28362146974578,103.825391035279,103.825391035279,164025,JALAN MEMBINA,MEMBINA COURT,27117.7298069749,29561.8615316674,25B Jalan Membina
1179,0,416C FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 793416,416C,FERNVALE RIVERBOW,1.38979947929701,103.88064410102,103.88064410102,793416,FERNVALE LINK,FERNVALE RIVERBOW,33266.7142245031,41302.5335869379,416C Fernvale Link
1180,0,144 LORONG 2 TOA PAYOH HDB-TOA PAYOH SINGAPORE 310144,144,HDB-TOA PAYOH,1.33535073315711,103.84402714867,103.84402714867,310144,LORONG 2 TOA PAYOH,HDB-TOA PAYOH,29191.7509527801,35281.8185886629,144 Lorong 2 Toa Payoh
1181,0,369 WOODLANDS AVENUE 1 HDB-WOODLANDS SINGAPORE 730369,369,HDB-WOODLANDS,1.43343620706594,103.787422676205,103.787422676205,730369,WOODLANDS AVENUE 1,HDB-WOODLANDS,22892.4791252638,46127.6610490829,369 Woodlands Avenue 1
1182,1,369 WOODLANDS AVENUE 1 BUMBLE BEE CHILD CARE CENTRE SINGAPORE 730369,369,BUMBLE BEE CHILD CARE CENTRE,1.43343619748541,103.787422681373,103.787422681373,730369,WOODLANDS AVENUE 1,BUMBLE BEE CHILD CARE CENTRE,22892.4797003554,46127.6599897034,369 Woodlands Avenue 1
1183,0,512 BUKIT BATOK STREET 52 GUILIN BREEZE SINGAPORE 650512,512,GUILIN BREEZE,1.35398085110664,103.752778228297,103.752778228297,650512,BUKIT BATOK STREET 52,GUILIN BREEZE,19036.7727690001,37341.988106275,512 Bukit Batok Street 52
1184,1,512 BUKIT BATOK STREET 52 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 512 (CC) SINGAPORE 650512,512,PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 512 (CC),1.35398085001181,103.752778231289,103.752778231289,650512,BUKIT BATOK STREET 52,PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 512 (CC),19036.7731019477,37341.987985203,512 Bukit Batok Street 52
