STN_NAME,STN_NO,LINE_SEQ,X,Y,Latitude,Longitude,COLOR,Line,Current,ready by 2019,ready by 2020,ready by 2021,ready by 2023,ready by 2024,ready by 2025,ready by 2029
PIONEER MRT STATION,EW28,28,12864.9592,35529.4973,1.337586882,103.6973586,GREEN,East West Line,1,,,,,,,
BOON LAY MRT STATION,EW27,27,13837.9827,35641.9191,1.338604054,103.7060994,GREEN,East West Line,1,,,,,,,
LAKESIDE MRT STATION,EW26,26,15494.5171,36267.1619,1.344259249,103.7209802,GREEN,East West Line,1,,,,,,,
CHINESE GARDEN MRT STATION,EW25,25,16790.7466,36056.3019,1.342352821,103.7326244,GREEN,East West Line,1,,,,,,,
JURONG EAST MRT STATION,EW24,24,17869.0806,35038.9472,1.33315262,103.7423112,GREEN,East West Line,1,,,,,,,
CLEMENTI MRT STATION,EW23,23,20430.06,33026.6075,1.314954492,103.7653168,GREEN,East West Line,1,,,,,,,
DOVER MRT STATION,EW22,22,21914.5509,32634.1186,1.311405293,103.7786522,GREEN,East West Line,1,,,,,,,
BUONA VISTA MRT STATION,EW21,21,23200.36,32167.2655,1.307183467,103.7902028,GREEN,East West Line,1,,,,,,,
COMMONWEALTH MRT STATION,EW20,20,24103.2523,31642.6034,1.302438735,103.7983136,GREEN,East West Line,1,,,,,,,
TAMPINES MRT STATION,EW2,2,40445.4297,37266.9909,1.353301356,103.9451175,GREEN,East West Line,1,,,,,,,
QUEENSTOWN MRT STATION,EW19,19,24946.8083,30804.6785,1.294860933,103.8058913,GREEN,East West Line,1,,,,,,,
REDHILL MRT STATION,EW18,18,26163.478,30218.8196,1.289562726,103.8168209,GREEN,East West Line,1,,,,,,,
TIONG BAHRU MRT STATION,EW17,17,27298.9575,29846.251,1.286193393,103.827021,GREEN,East West Line,1,,,,,,,
OUTRAM PARK MRT STATION,EW16,16,28646.3739,29316.7727,1.279764543,103.8395732,GREEN,East West Line,1,,,,,,,
TANJONG PAGAR MRT STATION,EW15,15,29396.2311,28776.7576,1.276521247,103.8458611,GREEN,East West Line,1,,,,,,,
RAFFLES PLACE MRT STATION,EW14,14,30019.1805,29617.6126,1.284125611,103.8514572,GREEN,East West Line,1,,,,,,,
CITY HALL MRT STATION,EW13,13,30144.2851,30591.8478,1.292936243,103.852581,GREEN,East West Line,1,,,,,,,
BUGIS MRT STATION,EW12,12,30491.5648,31424.3503,1.300465076,103.8557007,GREEN,East West Line,1,,,,,,,
LAVENDER MRT STATION,EW11,11,31284.2589,32186.4342,1.30735702,103.8628215,GREEN,East West Line,1,,,,,,,
KALLANG MRT STATION,EW10,10,32236.6038,32643.3302,1.31148891,103.8713766,GREEN,East West Line,1,,,,,,,
PASIR RIS MRT STATION,EW1,1,40903.7716,39443.3983,1.372983774,103.9492348,GREEN,East West Line,1,,,,,,,
BOTANIC GARDENS MRT STATION,DT9,9,26087.2663,33852.4484,1.322423979,103.8161362,BLUE,Downtown Line,1,,,,,,,
TAN KAH KEE MRT STATION,DT8,8,25106.8667,34234.9609,1.325883209,103.8073292,BLUE,Downtown Line,1,,,,,,,
SIXTH AVENUE MRT STATION,DT7,7,23985.5297,34777.1434,1.330786387,103.7972561,BLUE,Downtown Line,1,,,,,,,
KING ALBERT PARK MRT STATION,DT6,6,22489.8451,35316.6349,1.335665121,103.7838201,BLUE,Downtown Line,1,,,,,,,
BEAUTY WORLD MRT STATION,DT5,5,21598.1665,35931.2359,1.341223176,103.77581,BLUE,Downtown Line,1,,,,,,,
EXPO MRT STATION,DT35,35,42362.7103,35285.6654,1.335382137,103.9623407,BLUE,Downtown Line,1,,,,,,,
UPPER CHANGI MRT STATION,DT34,34,42262.0767,35988.4036,1.341737484,103.9614367,BLUE,Downtown Line,1,,,,,,,
TAMPINES EAST MRT STATION,DT33,33,41501.0749,37586.6178,1.356191483,103.9546005,BLUE,Downtown Line,1,,,,,,,
TAMPINES MRT STATION,DT32,32,40213.0284,37463.3697,1.355077429,103.9430298,BLUE,Downtown Line,1,,,,,,,
TAMPINES WEST MRT STATION,DT31,31,39698.5276,36406.0143,1.345515305,103.938408,BLUE,Downtown Line,1,,,,,,,
BEDOK RESERVOIR MRT STATION,DT30,30,39008.3132,35421.0409,1.33660783,103.9322077,BLUE,Downtown Line,1,,,,,,,
HILLVIEW MRT STATION,DT3,3,20666.0676,38266.7899,1.362344869,103.7674369,BLUE,Downtown Line,1,,,,,,,
BEDOK NORTH MRT STATION,DT29,29,37421.7438,35214.6804,1.334742117,103.9179554,BLUE,Downtown Line,1,,,,,,,
KAKI BUKIT MRT STATION,DT28,28,36362.4224,35239.5458,1.334967302,103.9084393,BLUE,Downtown Line,1,,,,,,,
UBI MRT STATION,DT27,27,35337.7709,34685.4833,1.329956826,103.8992348,BLUE,Downtown Line,1,,,,,,,
MACPHERSON MRT STATION,DT26,26,34235.7966,34256.4317,1.326076883,103.8893356,BLUE,Downtown Line,1,,,,,,,
MATTAR MRT STATION,DT25,25,33556.5834,34344.8585,1.326876715,103.8832341,BLUE,Downtown Line,1,,,,,,,
GEYLANG BAHRU MRT STATION,DT24,24,32293.7994,33750.9518,1.321505838,103.8718904,BLUE,Downtown Line,1,,,,,,,
BENDEMEER MRT STATION,DT23,23,31300.8084,32884.7382,1.313672233,103.8629702,BLUE,Downtown Line,1,,,,,,,
JALAN BESAR MRT STATION,DT22,22,30466.0301,31970.4313,1.305403642,103.8554713,BLUE,Downtown Line,1,,,,,,,
BENCOOLEN MRT STATION,DT21,21,29899.2575,31247.3368,1.29886427,103.8503799,BLUE,Downtown Line,1,,,,,,,
FORT CANNING MRT STATION,DT20,20,29225.2834,30541.2748,1.292478928,103.8443255,BLUE,Downtown Line,1,,,,,,,
CASHEW MRT STATION,DT2,2,20362.9591,39043.5835,1.369369831,103.764714,BLUE,Downtown Line,1,,,,,,,
CHINATOWN MRT STATION,DT19,19,29238.9683,29686.5359,1.284748969,103.8444484,BLUE,Downtown Line,1,,,,,,,
TELOK AYER MRT STATION,DT18,18,29667.6216,29414.5867,1.282289536,103.8482991,BLUE,Downtown Line,1,,,,,,,
DOWNTOWN MRT STATION,DT17,17,30172.6259,29100.1876,1.27944619,103.8528356,BLUE,Downtown Line,1,,,,,,,
BAYFRONT MRT STATION,DT16,16,30867.0093,29368.625,1.281873788,103.8590733,BLUE,Downtown Line,1,,,,,,,
PROMENADE MRT STATION,DT15,15,31064.3414,30586.9146,1.292891552,103.860846,BLUE,Downtown Line,1,,,,,,,
BUGIS MRT STATION,DT14,14,30620.8769,31323.2495,1.299550746,103.8568623,BLUE,Downtown Line,1,,,,,,,
ROCHOR MRT STATION,DT13,13,30126.0006,31805.9862,1.306800025,103.8496427,BLUE,Downtown Line,1,,,,,,,
LITTLE INDIA MRT STATION,DT12,12,29698.9692,32168.8611,1.303916484,103.8524167,BLUE,Downtown Line,1,,,,,,,
NEWTON MRT STATION,DT11,11,28499.9628,32877.5173,1.313607102,103.8378098,BLUE,Downtown Line,1,,,,,,,
STEVENS MRT STATION,DT10,10,27188.23,33591.6608,1.320065557,103.8260263,BLUE,Downtown Line,1,,,,,,,
BUKIT PANJANG MRT STATION,DT1,1,20011.3981,40108.6838,1.379002117,103.7615559,BLUE,Downtown Line,1,,,,,,,
CHANGI AIRPORT MRT STATION,CG2,2,45254.8614,37711.015,1.357314545,103.9883212,OTHERS,Changi Airport Branch Line,1,,,,,,,
