,rank_2018,primary_school_name,total_vacancy,percentage_balance_vacancy,balance_vacancy,primary_school_name_clean,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
54,55, Xinmin Primary School ,154,26.70%, 56/210, Xinmin Primary School ,0,9 HOUGANG AVENUE 8 XINMIN PRIMARY SCHOOL SINGAPORE 538784,9,XINMIN PRIMARY SCHOOL,1.37139548941933,103.883080767491,103.883080767491,538784,HOUGANG AVENUE 8,XINMIN PRIMARY SCHOOL,33537.9261037437,39267.5186706763
55,56, Yu Neng Primary School ,151,16.10%, 29/180, Yu Neng Primary School ,0,56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623,56,YU NENG PRIMARY SCHOOL,1.33388900977814,103.932150334643,103.932150334643,469623,BEDOK NORTH STREET 3,YU NENG PRIMARY SCHOOL,38998.9447975559,35120.4068774227
56,57, Shuqun Primary School ,150,37.50%, 90/240, Shuqun Primary School ,0,8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332,8,SHUQUN PRIMARY SCHOOL,1.34765311431636,103.721523713379,103.721523713379,649332,JURONG WEST STREET 51,SHUQUN PRIMARY SCHOOL,15558.463857362,36642.4359194655
57,58, Yangzheng Primary School ,149,17.20%, 31/180, Yangzheng Primary School ,0,15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108,15,YANGZHENG PRIMARY SCHOOL,1.3489737533151,103.868349549195,103.868349549195,556108,SERANGOON AVENUE 3,YANGZHENG PRIMARY SCHOOL,31898.5564730614,36788.2079213746
58,59, Keming Primary School ,148,29.50%, 62/210, Keming Primary School ,0,90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762,90,KEMING PRIMARY SCHOOL,1.34552849960877,103.756449399351,103.756449399351,659762,BUKIT BATOK EAST AVENUE 6,KEMING PRIMARY SCHOOL,19445.303165514,36407.3561431058
59,60, Chij Our Lady Of The Nativity ,148,38.30%, 92/240, Chij Our Lady Of The Nativity ,0,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,1257,CHIJ OUR LADY OF THE NATIVITY,1.37330297194879,103.897575728031,103.897575728031,534793,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,35151.03377889,39478.4769222364
60,61, St. Anthony’s Primary School ,147,30.00%, 63/210, Saint Anthony Primary School ,0,30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401,30,SAINT ANTHONY'S PRIMARY SCHOOL,1.36411948475835,103.749251919049,103.749251919049,659401,BUKIT BATOK STREET 32,SAINT ANTHONY'S PRIMARY SCHOOL,18644.373300924,38463.0810494535
61,62, Woodlands Primary School ,147,30.00%, 63/210, Woodlands Primary School ,0,10 WOODLANDS DRIVE 50 WOODLANDS PRIMARY SCHOOL SINGAPORE 738853,10,WOODLANDS PRIMARY SCHOOL,1.43655108594233,103.791570546509,103.791570546509,738853,WOODLANDS DRIVE 50,WOODLANDS PRIMARY SCHOOL,23354.0808293363,46472.0799515154
62,63, Compassvale Primary School ,147,38.80%, 93/240, Compassvale Primary School ,0,21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091,21,COMPASSVALE PRIMARY SCHOOL,1.39444529636568,103.897812229905,103.897812229905,545091,COMPASSVALE STREET,COMPASSVALE PRIMARY SCHOOL,35177.2900137771,41816.2900234852
63,64, De La Salle School ,147,45.60%, 123/270, De La Salle School ,0,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,11,DE LA SALLE SCHOOL,1.39470782963993,103.743201812831,103.743201812831,689285,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,17971.1954546729,41845.4133931305
